rule_id,change_type,rule_content,first_level,second_level,can_detect
E28_108,added,"## Dependencies
### Runtime Dependencies
- @modelcontextprotocol/sdk: ^1.18.0 (MCP server implementation)
- zod: ^3.23.8 (Schema validation)
- preact: ^10.24.3 (UI framework)

### Development Dependencies
- typescript: ^5.9.2 (Language and compiler)
- vite: ^5.4.8 (UI build tool)
- @preact/preset-vite: ^2.9.1 (Preact integration)
- eslint: ^9.34.0 (Code linting)
- @vscode/test-cli: ^0.0.11 (Testing framework)
- vsce: ^2.15.0 (Extension packaging)",Development Workflow & Project Management,Dependency Management,TRUE
E35_36,added,"- **对象结构完整性** - 确保对象字面量语法正确，字段位置准确
  ```typescript
  // ✅ 正确的对象结构
  console.log('调试信息:', {
    field1: value1,
    field2: value2,
    field3: value3  // 最后一个字段不需要逗号，但可以加上
  });
  
  // ❌ 错误的对象结构
  console.log('调试信息:', {
    field1: value1,
    field2: value2
  });
  field3: value3,  // 字段在对象外部，语法错误
  ```",Code Implementation,Language Features,FALSE
E39_08,modified,"Comment ONLY non-obvious logic, complex algorithms, or business rules
    - Add comments for non-obvious logic, complex algorithms, or business rules",Code Implementation,Code Style Conventions,FALSE
E30_01,modified,"- 单元测试优先使用 Vitest + React Testing Library
+ 单元测试优先使用 Vitest（2025年主流，速度快，兼容性好）+ React Testing Library，支持组件和逻辑的高效测试",Quality Assurance,Testing Strategy,FALSE
E2_118,added,Pre-commit hook runs linting and formatting,Development Workflow & Project Management,Version Control,FALSE
E56_149,added,- JavaScript Unit Tests (web/static/tests/): Frontend component testing with Jest,Quality Assurance,Testing Strategy,TRUE
E20_34,modified,"-- Frontend: React with JWT token management
+- Frontend: React with comprehensive authentication flows",Architecture & Design,Technology Stack Selections,FALSE
E41_59,added,"- Always re-run the frontend, worker and integration tests before considering a task complete",Development Workflow & Project Management,Workflow Conventions,FALSE
E56_59,modified,"- - Python 3.12+: Minimum supported version
+ - Python 3.12+: Primary language with modern packaging structure",Architecture & Design,Technology Stack Selections,FALSE
E17_02,added,1. Always start with a failing test first (Test-Driven Development),Quality Assurance,Testing Strategy,FALSE
E44_22,added,- Improved fuzzy matching with increased distance and proper parameter handling,Code Implementation,Business Logic,FALSE
E6_122,added,Test critical user journeys,Quality Assurance,Testing Strategy,FALSE
E56_156,added,- Three-Column Layout: Queue → Processing → Completed (inspired by YouTube design),Architecture & Design,Design Principles & Patterns,FALSE
E1_42,modified,"-## Template Organization
-
-Project templates should be organized in a structured way for easy access:
-
-```
-project_templates/
-├── technical/
-│   ├── web/
-│   ├── mobile/
-│   ├── api/
-│   ├── data/
-│   ├── game/
-│   └── tool/
-├── creative/
-│   ├── writing/
-│   ├── design/
-│   └── media/
-├── business/
-│   ├── planning/
-│   ├── marketing/
-│   └── analytics/
-└── personal/
-    ├── life/
-    ├── learning/
-    └── productivity/
-```
+## Project Organization Structure
+
+The project should be organized in a structured, intuitive way:
+
+```
+/project-root
+├── .cursor/
+│   └── rules/            # Cursor project rules
+├── docs/                 # Documentation
+│   ├── planning/         # Planning documents
+│   ├── guides/           # User/developer guides
+│   └── specs/            # Technical specifications
+├── journal/              # Project progress journal
+│   └── entries/          # Individual journal entries by date
+├── project-plan.md       # Master project plan with checklists
+└── [project-specific folders based on type]
+```
+
+These guidelines should be appropriately tailored to the specific project type and requirements.",Development Workflow & Project Management,Directory Structure,TRUE
E20_58,added,"EmailVerification Entity:
- id (Long, auto-generated)
- email (String, required, indexed)
- verificationCode (String, required, 6 digits)
- expiryTime (LocalDateTime, required, 10 minutes from creation)
- verified (Boolean, default false)
- attempts (Integer, default 0, max 5 attempts)
- createdAt (LocalDateTime, auto-generated)",Code Implementation,Business Logic,FALSE
E56_17,added,"- utils/batch_processor.py: Batch processing utilities, progress tracking, and error aggregation",Architecture & Design,System Architecture,FALSE
E56_14,modified,"-- main.py: Application orchestration, error handling, and user feedback
+- main.py: Application orchestration, error handling, user feedback, and batch processing coordination",Architecture & Design,System Architecture,FALSE
E2_105,added,"Secondary colours: Dark Purple (#1b1532), Orange (#ff8a00), Light Blue (#ebf7fc)",Code Implementation,Code Style Conventions,TRUE
E47_03,added,TARGET macOS 15.6 as minimum deployment target,Architecture & Design,Technology Stack Selections,TRUE
E35_28,added,- **集中配置管理** - 核心设置统一在应用级别管理，避免工具间重复配置,Architecture & Design,System Architecture,FALSE
E48_42,modified,"- Use npm run lint to check code style
+ Use pnpm run lint to check code style",Development Workflow & Project Management,Workflow Conventions,FALSE
E16_26,added,Key Features (Latest): Web Administration: Complete locker management and monitoring,Code Implementation,Business Logic,FALSE
E20_29,added,"Testing Requirements:
1. Unit Tests: Test all service methods
2. Integration Tests: Test authentication flows
3. Security Tests: Test authorization rules
4. API Tests: Test all endpoints with various scenarios",Quality Assurance,Testing Strategy,FALSE
E28_76,modified,"- npm run clean # Remove out/ directory
- npm run clean:web # Remove web build artifacts
- npm run lint # ESLint on src/
- npm run test # Run VS Code extension tests
+ npm run clean # Remove out/ directory using rimraf
+ npm run clean:web # Remove web build artifacts (.js, .js.map files)
+ npm run lint # ESLint on src/ directory
+ npm run test # Run VS Code extension tests (runs pretest first)
+ npm run pretest # Compile and lint before testing",Development Workflow & Project Management,Workflow Conventions,TRUE
E45_40,added,"- Section References:
 - Use ALL_CAPS_SECTION to reference files
 - Example: WINDSURF_RULES",Development Workflow & Project Management,Project Documentation,FALSE
